year,iso3,country_name,original_rate,new_rate,rate_change_percentage_points,new_fallback_used,new_source_years,alpha_effective,value_added_baseline,value_added_new,value_added_absolute_change,value_added_relative_change,value_added_share_baseline,value_added_share_new,value_added_share_change_pp,capital_baseline,capital_new,capital_absolute_change,capital_relative_change,capital_share_baseline,capital_share_new,capital_share_change_pp,investment_baseline,investment_new,investment_absolute_change,investment_relative_change,investment_share_baseline,investment_share_new,investment_share_change_pp
2190,AGO,Angola,0.10384533241310046,0.106227544338657,0.23822119255565433,False,2024,0.6,7746223945200.56,8013864592385.235,267640647184.67578,0.03455111149355575,0.014110321337523062,0.015575598744996973,0.14652774074739114,14050167444911.732,14853643764864.723,803476319952.9902,0.057186245153538665,0.004363091159792544,0.00517075736959499,0.08076662098024456,804409200535.6705,851293156311.596,46883955775.925415,0.05828371399121809,0.005284942168031831,0.006117520573656672,0.08325784056248414
2190,ARE,United Arab Emirates,0.2649423251162367,0.223283039488531,-4.165928562770571,True,2024,0.464970886707306,10984371164048.586,9751434173053.627,-1232936990994.959,-0.11224465857729873,0.02000884662150506,0.01895270678918821,-0.10561398323168485,65696836925351.77,49567108579834.766,-16129728345517.008,-0.24551757893373863,0.020401272051682334,0.017254991168224633,-0.31462808834577005,2910224836142.776,2177329861531.7437,-732894974611.0322,-0.2518344856071032,0.019120082098442456,0.01564661964542101,-0.3473462453021447
2190,ARG,Argentina,0.1545897077285381,0.16000034749903702,0.541063977049891,False,2025,0.47152823209762595,1056663853657.1957,1082829919338.714,26166065681.51831,0.024762904107068228,0.00192479156635878,0.0021045681691106983,0.017977660275191824,4506193759715.849,4752441899947.719,246248140231.87012,0.054646593857827816,0.0013993380672803835,0.0016543902874427447,0.025505222016236118,163349356304.17664,173253163376.54846,9903807072.371826,0.06062960575081616,0.0010731999344089024,0.001245023272593057,0.017182333818415448
2190,AUS,Australia,0.2384957942255656,0.24328717473155698,0.47913805059913717,False,2025,0.453912258148193,10946587687023.363,11131960067146.89,185372380123.52734,0.016934261655189325,0.01994002121626937,0.021635871339273888,0.16958501230045187,64199655434063.56,66500391660274.38,2300736226210.8203,0.035837205210140076,0.0199363424090388,0.02314969954185168,0.32133571328128824,2610715124476.434,2708263113960.68,97547989484.2461,0.03736447097184104,0.01715231307756797,0.019461985798539264,0.23096727209712953
2190,AUT,Austria,0.23367344731894873,0.23526710022966402,0.1593652910715282,False,2025,0.39200001955032304,502953672653.3005,506256332172.9044,3302659519.603943,0.006566528289138382,0.0009161674112743082,0.0009839504275542179,0.006778301627990969,2731353691926.8457,2763901469729.757,32547777802.911133,0.011916354113754545,0.0008481852756728918,0.000962152056402823,0.011396678072993119,117526918530.6228,119105459243.22478,1578540712.6019745,0.01343131201207041,0.0007721480152237357,0.0008559097320976885,0.00837617168739528
2190,BEL,Belgium,0.2373766477271793,0.238945707368656,0.15690596414766889,False,2025,0.413874268531799,734633887352.5177,739322509129.1764,4688621776.658691,0.006382256328462606,0.0013381901025983514,0.0014369335309561287,0.00987434283577773,4038008944501.283,4083952050735.392,45943106234.10889,0.011377663315152244,0.0012539495488573128,0.0014216797910128769,0.01677302421555641,174384929486.52692,176657939917.44067,2273010430.9137573,0.013034443042793853,0.001145703289692465,0.0012694905085659815,0.012378721887351653
2190,BGD,Bangladesh,0.2726170840933099,0.285411003849809,1.2793919756499073,False,2025,0.464970886707306,5256153595721.266,5491076403773.794,234922808052.52832,0.04469481414009011,0.009574473544746463,0.010672354362534284,0.10978808177878208,34333748036666.4,37458950860183.92,3125202823517.5234,0.0910242254990627,0.010661885214440935,0.013039975192871915,0.23780899784309803,1432917266812.0977,1567213628617.0776,134296361804.97998,0.09372234176768464,0.009414219630547801,0.011262232693047556,0.18480130624997543
2190,BGR,Bulgaria,0.19589055019405968,0.20132259515094098,0.5432044956881293,False,2025,0.483489334583282,52931707633.2295,53316189352.0511,384481718.82160187,0.007263731627283298,9.64190306054149e-05,0.00010362435780970185,0.000720532720428695,231909226524.0373,235786757975.46603,3877531451.4287415,0.01672003960147242,7.201630159132316e-05,8.208060835136467e-05,0.0010064306760041513,10368821330.984436,10733753603.913895,364932272.9294586,0.03519515490530795,6.812281740240688e-05,7.713436671922444e-05,0.0009011549316817564
2190,BLR,Belarus,0.24779875653926606,0.25082190136904503,0.3023144829778973,False,2025,0.430456221103668,56079427853.5163,56490004264.86133,410576411.34503174,0.007321337379145314,0.00010215283640590234,0.00010979292567142887,0.0007640089265526531,365930773388.55554,370246998662.6873,4316225274.131775,0.01179519621747878,0.00011363489643291476,0.00012888806458614786,0.0015253168153233103,13896412489.53482,14168930278.057981,272517788.52316093,0.019610657695170605,9.129897607014016e-05,0.00010182006261894572,0.001052108654880556
2190,BRA,Brazil,0.16523265625739028,0.168390252318469,0.315759606107871,False,2025,0.48858571052551303,2338703494522.922,2358362521272.145,19659026749.223145,0.008405950901969059,0.004260121841862413,0.00458366970181626,0.03235478599538473,9156226660482.082,9263843015270.154,107616354788.07227,0.011753351984233884,0.0028433434516735153,0.0032248709677073282,0.03815275160338129,386430190598.4634,397125260015.4372,10695069416.973816,0.027676588623705593,0.0025388337278271036,0.0028538018078157314,0.03149680799886278
